id,status,name,name_en,province,amphoe,tambon,lat,lng,first_seen,sessions,photo,motdang_url
cm-curated-suksawad-one-stop-service,added,สุขสวัสดิ์ @อ้อมเมือง,SUKSAWAD One stop service,cm,เมืองเชียงใหม่,ช้างคลาน,18.765328,98.990692,2026-09-23,1,,https://motdang.net/cm/p/suksawad-one-stop-service-cmcuratedsuksawadonestopservice.html
cm-curated-sun-phasom-sibeyoe,added,ศูนย์ผสมสีเบเยอร์,,cm,เมืองเชียงใหม่,ป่าแดด,18.762634,98.994223,2026-09-23,1,,https://motdang.net/cm/p/cmcuratedsunphasomsibeyoe.html
cm-curated-sv-pharmacy,added,SV Pharmacy,SV Pharmacy,cm,เมืองเชียงใหม่,ศรีภูมิ,18.790617,98.978363,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-curated-sv-pharmacy.jpg,https://motdang.net/cm/p/sv-pharmacy-cmcuratedsvpharmacy.html
cm-curated-sweet-taro,added,หวานเผือก,Sweet Taro,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789675,98.978684,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-curated-sweet-taro.jpg,https://motdang.net/cm/p/sweet-taro-cmcuratedsweettaro.html
cm-curated-taruka,added,TARUKA,TARUKA,cm,เมืองเชียงใหม่,ศรีภูมิ,18.790235,98.982354,2026-09-23,1,,https://motdang.net/cm/p/taruka-cmcuratedtaruka.html
cm-curated-thaiconch-profile-and-science,added,THAICONCH PROFILE AND SCIENCE,THAICONCH PROFILE AND SCIENCE,cm,เมืองเชียงใหม่,ท่าศาลา,18.777451,99.042398,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-aa1911-107-l.jpg,https://motdang.net/cm/p/thaiconch-profile-and-science-cmcuratedthaiconchprofileandscience.html
cm-curated-thaikoe-phamuetong,added,ไทเกอร์ ผ้ามือสอง,,cm,เมืองเชียงใหม่,หนองหอย,18.75687,99.002332,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-113-r.jpg,https://motdang.net/cm/p/cmcuratedthaikoephamuetong.html
cm-curated-the-bell-cafe,added,THE BELL CAFE,THE BELL CAFE,cm,เมืองเชียงใหม่,ศรีภูมิ,18.791638,98.982125,2026-09-23,1,,https://motdang.net/cm/p/the-bell-cafe-cmcuratedthebellcafe.html
cm-curated-the-happiness-corporation,added,THE HAPPINESS CORPORATION,THE HAPPINESS CORPORATION,cm,เมืองเชียงใหม่,หนองหอย,18.762055,99.022344,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-062-r.jpg,https://motdang.net/cm/p/the-happiness-corporation-cmcuratedthehappinesscorporation.html
cm-curated-the-lucky,added,The Lucky,The Lucky,cm,เมืองเชียงใหม่,หนองหอย,18.758812,98.998843,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-123-l.jpg,https://motdang.net/cm/p/the-lucky-cmcuratedthelucky.html
cm-curated-thueng-laeo,added,ถึงแล้ว,,cm,เมืองเชียงใหม่,ท่าศาลา,18.769746,99.040721,2026-09-23,1,,https://motdang.net/cm/p/cmcuratedthuenglaeo.html
cm-curated-tiger-boat-noodles,added,ข.เสือ ก๋วยเตี๋ยวเรือไทย,TIGER BOAT NOODLES,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789665,98.978865,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-303-r.jpg,https://motdang.net/cm/p/tiger-boat-noodles-cmcuratedtigerboatnoodles.html
cm-curated-tiger-kingdom,added,TIGER KINGDOM,TIGER KINGDOM,cm,เมืองเชียงใหม่,,18.781526,98.977446,2026-09-23,1,,https://motdang.net/cm/p/tiger-kingdom-cmcuratedtigerkingdom.html
