status,id,name,kind,lat,lng,motdang_url
added,cm-curated-p-p-car-care,พี.พี. คาร์แคร์,car and motorbike wash,18.790219,98.982358,https://motdang.net/cm/p/p-p-car-care-cmcuratedppcarcare.html
added,cm-curated-bake-a-seat,Bake A Seat,bakery and cafe,18.791052,98.978349,https://motdang.net/cm/p/bake-a-seat-cmcuratedbakeaseat.html
added,cm-curated-thueng-laeo,ถึงแล้ว,"restaurant: Wichian Buri grilled chicken, nam tok pork, tom saep, som tam",18.769746,99.040721,https://motdang.net/cm/p/cmcuratedthuenglaeo.html
added,cm-curated-heng-leasing,เฮงลิสซิ่ง,"vehicle and land title loans, car insurance, tax renewal",18.759056,98.998569,https://motdang.net/cm/p/heng-leasing-cmcuratedhengleasing.html
added,cm-curated-bankhru-samunprai-suan-dok-branch,บ้านครูสมุนไพร สาขาสวนดอก,cannabis and Thai herbal products,18.789668,98.978805,https://motdang.net/cm/p/bankhru-samunprai-suan-dok-branch-cmcuratedbankhrusamunpraisuandokbranch.html
added,cm-curated-silkspan,Silkspan,insurance broker office,18.76091,98.996331,https://motdang.net/cm/p/silkspan-cmcuratedsilkspan.html
added,cm-curated-sayamchai,สยามชัย,electrical appliances and mobile phones,18.777501,98.976806,https://motdang.net/cm/p/cmcuratedsayamchai.html
added,cm-curated-top-property,Top Property,real-estate agency office,18.789589,98.98007,https://motdang.net/cm/p/top-property-cmcuratedtopproperty.html
added,cm-curated-naronghipsop,ณรงค์หีบศพ,coffin shop,18.791052,98.978349,https://motdang.net/cm/p/cmcuratednaronghipsop.html
added,cm-curated-sweet-taro,หวานเผือก,dessert shop,18.789675,98.978684,https://motdang.net/cm/p/sweet-taro-cmcuratedsweettaro.html
added,cm-curated-kari-phap-chaokao,กะหรี่พัฟ เจ้าเก่า,"curry puffs, chicken or sweet bean",18.789675,98.978684,https://motdang.net/cm/p/cmcuratedkariphapchaokao.html
added,cm-curated-ayutthaya-thai-kitchen,ครัวอยุธยา,Thai restaurant,18.791408,98.982174,https://motdang.net/cm/p/ayutthaya-thai-kitchen-cmcuratedayutthayathaikitchen.html
added,cm-curated-chiang-mai-laminet,เชียงใหม่ลามิเนต,laminate flooring shop,18.777045,99.042415,https://motdang.net/cm/p/cmcuratedchiangmailaminet.html
added,cm-curated-srisawad-buak-khrok-luang-branch,ศรีสวัสดิ์ สาขาบวกครกหลวง,vehicle title loans and insurance,18.775818,99.04233,https://motdang.net/cm/p/srisawad-buak-khrok-luang-branch-cmcuratedsrisawadbuakkhrokluangbranch.html
added,cm-curated-srisawad,ศรีสวัสดิ์,vehicle title loans and insurance,18.762873,98.993926,https://motdang.net/cm/p/srisawad-cmcuratedsrisawad.html
added,cm-curated-jackie-fitness,บริษัท แจ๊กกี้ ฟิทเนส จำกัด,"exercise equipment: sales, rental, repair",18.759215,99.014415,https://motdang.net/cm/p/jackie-fitness-cmcuratedjackiefitness.html
